BUS	bus_load_zone	bus_v_setpoint_pu	bus_type	bus_g_mw	bus_b_mvar	bus_area	bus_base_kv	bus_loss_zone	bus_v_max_pu	bus_v_min_pu
1	A	1.035	2	0	0	11	138	1	1.05	0.95
2	A	1.035	2	0	0	11	138	2	1.05	0.95
3	A	.	1	0	0	11	138	1	1.05	0.95
4	A	.	1	0	0	11	138	1	1.05	0.95
5	A	.	1	0	0	11	138	1	1.05	0.95
6	A	.	1	0	0	11	138	2	1.05	0.95
7	A	1.025	2	0	0	11	138	2	1.05	0.95
8	A	.	1	0	0	11	138	2	1.05	0.95
9	A	.	1	0	0	11	138	3	1.05	0.95
10	A	.	1	0	0	11	138	3	1.05	0.95
11	A	.	1	0	0	11	230	3	1.05	0.95
12	A	.	1	0	0	11	230	3	1.05	0.95
13	A	1.02	3	0	0	12	230	4	1.05	0.95
14	A	0.98	2	0	0	12	230	6	1.05	0.95
15	A	1.014	2	0	0	12	230	6	1.05	0.95
16	A	1.017	2	0	0	12	230	6	1.05	0.95
17	A	.	1	0	0	12	230	7	1.05	0.95
18	A	1.05	2	0	0	12	230	7	1.05	0.95
19	A	.	1	0	0	12	230	5	1.05	0.95
20	A	.	1	0	0	12	230	5	1.05	0.95
21	A	1.05	2	0	0	12	230	7	1.05	0.95
22	A	1.05	2	0	0	12	230	7	1.05	0.95
23	A	1.05	2	0	0	12	230	5	1.05	0.95
24	A	.	1	0	0	12	230	6	1.05	0.95
