generation_technology	g_max_age	g_scheduled_outage_rate	g_forced_outage_rate	g_is_variable	g_is_baseload	g_is_flexible_baseload	g_is_cogen	g_competes_for_space	g_variable_o_m	g_energy_source	g_full_load_heat_rate	g_unit_size	g_q_max_mvar	g_q_min_mvar
U12	40	0	0	0	0	0	0	0	2.952	residual	12	12	6	0
U20	40	0	0	0	0	0	0	0	16.4	distillate	14.5	20	30	-25
U50	40	0	0	0	0	0	0	0	0	hydro	.	50	16	-10
U76	40	0	0	0	0	0	0	0	2.952	coal	12	76	30	-25
U100	40	0	0	0	0	0	0	0	2.624	residual	10	100	60	0
U155	40	0	0	0	0	0	0	0	2.624	coal	9.6	155	80	-50
U197	40	0	0	0	0	0	0	0	2.296	residual	9.5	197	80	0
U350	40	0	0	0	0	0	0	0	2.296	coal	9.5	350	150	-25
U400	40	0	0	0	0	0	0	0	0.984	nuclear	10	400	200	-50
SyncCond	40	0	0	0	0	0	0	0	0	sync_cond	.	200	200	-50
