PROJECT	build_year	proj_existing_cap
U20_1a	2015	20
U20_1b	2015	20
U76_1c	2015	76
U76_1d	2015	76
U20_2a	2015	20
U20_2b	2015	20
U76_2c	2015	76
U76_2d	2015	76
U100_7a	2015	100
U100_7b	2015	100
U100_7c	2015	100
U197_13a	2015	197
U197_13b	2015	197
U197_13c	2015	197
SyncCond_14	2015	200
U12_15a	2015	12
U12_15b	2015	12
U12_15c	2015	12
U12_15d	2015	12
U12_15e	2015	12
U155_15f	2015	155
U155_16	2015	155
U400_18	2015	400
U400_21	2015	400
U50_22a	2015	50
U50_22b	2015	50
U50_22c	2015	50
U50_22d	2015	50
U50_22e	2015	50
U50_22f	2015	50
U155_23a	2015	155
U155_23b	2015	155
U350_23c	2015	350
